utc_start	utc_end	exit_code	sanitized_invocation	artifact	sha256
2026-08-24T12:20:06Z	2026-08-24T12:20:06Z	0	sh -n scripts/managed-retry-capture.sh	helper-self-check.txt	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
2026-08-24T12:20:22Z	2026-08-24T12:20:22Z	0	render services --help	render-services-help.txt	0f1fc44e2b847ecb7f273a554c9eda8755c9cd433ca02e6017f2dafab3372139
2026-08-24T12:20:22Z	2026-08-24T12:20:22Z	0	render psql --help	render-psql-help.txt	cc94461516b181fdb8837fbdc9dbe5207f26cf9eb5c8445e44ad5ad273acaac9
2026-08-24T12:20:22Z	2026-08-24T12:20:22Z	0	render ssh --help	render-ssh-help.txt	08269b08d9e40296433069e50529dda021acaa36c5be8889f17078493c16d6b3
2026-08-24T12:20:22Z	2026-08-24T12:20:22Z	0	render deploys create --help	deploy-create-help.txt	440e1a214849b0e665baba87576eef01fdc7eaa91173e7d9b6fbd604103573b2
2026-08-24T12:20:22Z	2026-08-24T12:20:22Z	0	render services update --help	service-update-help.txt	5df2f26abf95f569a2274b9794126816c01794fe01c8295300bc6504228eef05
2026-08-24T12:21:31Z	2026-08-24T12:21:31Z	0	node --check scripts/render-api-evidence.mjs	render-api-helper-check.txt	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
2026-08-24T12:21:31Z	2026-08-24T12:21:31Z	1	node scripts/render-api-evidence.mjs get-service srv-d9n28tijnfac73a87lt0	pre-staging-web-service.json	c63603f8518820ea16f0f025ac7e1e566dda04b1a3ae7ecf322c121a9279af14
2026-08-24T12:21:31Z	2026-08-24T12:21:31Z	1	node scripts/render-api-evidence.mjs get-service srv-d9n28ue417fc73ch2b60	pre-staging-worker-service.json	c63603f8518820ea16f0f025ac7e1e566dda04b1a3ae7ecf322c121a9279af14
2026-08-24T12:21:31Z	2026-08-24T12:21:31Z	1	node scripts/render-api-evidence.mjs get-service srv-d9nhccfqj5pc73et9hrg	pre-production-web-service.json	c63603f8518820ea16f0f025ac7e1e566dda04b1a3ae7ecf322c121a9279af14
2026-08-24T12:21:31Z	2026-08-24T12:21:31Z	1	node scripts/render-api-evidence.mjs get-service srv-d9ni3ndaeets73c07kq0	pre-production-worker-service.json	c63603f8518820ea16f0f025ac7e1e566dda04b1a3ae7ecf322c121a9279af14
2026-08-24T12:21:43Z	2026-08-24T12:21:44Z	0	node scripts/render-api-evidence.mjs get-service srv-d9n28tijnfac73a87lt0	pre-staging-web-service-retry.json	a8a9b4d6ae031ebd2a872ba8ed2842a3a709863ed060df2827d780c9b4f94c9c
2026-08-24T12:21:44Z	2026-08-24T12:21:44Z	0	node scripts/render-api-evidence.mjs get-service srv-d9n28ue417fc73ch2b60	pre-staging-worker-service-retry.json	5bf514c3c6e1506ec6fed81465918afcfe29d945de910e974f18a700cac9f64e
2026-08-24T12:21:44Z	2026-08-24T12:21:44Z	0	node scripts/render-api-evidence.mjs get-service srv-d9nhccfqj5pc73et9hrg	pre-production-web-service-retry.json	acc1d78a1389fc69b5bf7d57a9a3dfd64db718d166342346ae519ee82f28715e
2026-08-24T12:21:44Z	2026-08-24T12:21:45Z	0	node scripts/render-api-evidence.mjs get-service srv-d9ni3ndaeets73c07kq0	pre-production-worker-service-retry.json	24ed0a6e5a827423ae61ba86961a90311e46b421cc6f1920bee8cbfa3c3ceb63
2026-08-24T12:22:19Z	2026-08-24T12:22:19Z	0	render deploys list srv-d9n28tijnfac73a87lt0 --output json	pre-staging-web-deploys.json	aab9a8595fedfaac0f2dc71eacd2b0c67385d0da00340f167e10e196a7cf6f74
2026-08-24T12:22:19Z	2026-08-24T12:22:20Z	0	render deploys list srv-d9n28ue417fc73ch2b60 --output json	pre-staging-worker-deploys.json	6b35d684c9cebd672753f331ab99137f85373d960af06bd10d15b464f950e6e0
2026-08-24T12:22:20Z	2026-08-24T12:22:20Z	0	render deploys list srv-d9nhccfqj5pc73et9hrg --output json	pre-production-web-deploys.json	7564e36be133d945f5916a4a365c24b8a245533bdee024a47f62a9a8c1bffabb
2026-08-24T12:22:20Z	2026-08-24T12:22:21Z	0	render deploys list srv-d9ni3ndaeets73c07kq0 --output json	pre-production-worker-deploys.json	1d73a2d79e467ea725f0a867ce171d6a287b24e93b853c83dc8fa010864fddcf
2026-08-24T12:22:21Z	2026-08-24T12:22:21Z	0	render postgres get dpg-d9n21fnlk1mc73djm8q0-a --output json	pre-staging-database.json	c88010bd0d45555be09ce3e8162f10a75004fd92b6f6d2c9437f32eb614fb0fc
2026-08-24T12:22:21Z	2026-08-24T12:22:23Z	1	scripts/staging-task-window-aggregate.sh	pre-task-window-job-aggregate.txt	03e9584647de8b7ede260abe93cc425e7ea96f8e9b225093986fcebbe3edf288
2026-08-24T12:22:23Z	2026-08-24T12:22:24Z	0	git ls-remote origin refs/heads/main	pre-origin-main-ref.txt	11c7e32b23109d22ae98d2c6a8516eb97d6f2d2f11b3d0a1a0341ad13c0254dc
2026-08-24T12:22:24Z	2026-08-24T12:22:24Z	0	curl -fsS https://racun-ai-staging-web.onrender.com/api/health	pre-staging-health.json	461645e625e70c2b5635a1583c18ee3f0c28f1c13b229680def2b33c31aa860c
